"Deletion reasons successfully deleted!","Deletion reasons successfully deleted!"
"Password you typed does not match this account!","Password you typed does not match this account!"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"Something went wrong, please try again later!","Something went wrong, please try again later!"
"Something went wrong, please try again later.","Something went wrong, please try again later."
"Your account deletion has been canceled!","Your account deletion has been canceled!"
"Unknown schedule type!","Unknown schedule type!"
"Requested reason doesn't exist!","Requested reason doesn't exist!"
"Schedule could not be saved!","Schedule could not be saved!"
"Reason could not be deleted!","Reason could not be deleted!"
"Requested schedule doesn't exist!","Requested schedule doesn't exist!"
"Schedule could not be deleted!","Schedule could not be deleted!"
"Always delete","Always delete"
"Always anonymize","Always anonymize"
"Delete if no orders made, anonymize otherwise","Delete if no orders made, anonymize otherwise"
"* Required Fields","* Required Fields"
"Required data","Required data"
Password,Password
Reason,Reason
"Delete my account","Delete my account"
"Go back","Go back"
Information,Information
Attention!,Attention!
"Your account will be deleted soon. You can undo this action.","Your account will be deleted soon. You can undo this action."
"Undo deletion","Undo deletion"
"Cookie Policy","Cookie Policy"
"Click here to learn about cookies","Click here to learn about cookies"
Agree,Agree
"Please enter a number greater than 0 in this field.","Please enter a number greater than 0 in this field."
Attention,Attention
"Do you really want to delete your account?","Do you really want to delete your account?"
"Magento 2 module to make your store GDPR compatible","Magento 2 module to make your store GDPR compatible"
"Deletion Reasons","Deletion Reasons"
"Privacy (GDPR)","Privacy (GDPR)"
General,General
Enable,Enable
"Privacy policy page","Privacy policy page"
"This page should store information about privacy and GDPR policy.","This page should store information about privacy and GDPR policy."
"Brief information","Brief information"
"Brief information about your private policy. This text will be displayed in the settings of the user account.","Brief information about your private policy. This text will be displayed in the settings of the user account."
"Account Deletion And Anonymization","Account Deletion And Anonymization"
"Allow user deletion","Allow user deletion"
"Deletion strategy","Deletion strategy"
"Account deletion time (minutes)","Account deletion time (minutes)"
"Deletion section title","Deletion section title"
"Deletion button text","Deletion button text"
"Success message","Success message"
"This message will be shown when a customer deletes their account.","This message will be shown when a customer deletes their account."
"Deletion information","Deletion information"
"Information about account deletion. This text will be displayed in the settings of the user account.","Information about account deletion. This text will be displayed in the settings of the user account."
"Delete reason description","Delete reason description"
"Description for deletion reason filed. This text will be displayed in the account delete page under reason field.","Description for deletion reason filed. This text will be displayed in the account delete page under reason field."
"Enable anonymization message","Enable anonymization message"
"This message will be show in the settings of the user account, only if the user has made at least one order.","This message will be show in the settings of the user account, only if the user has made at least one order."
"Anonymization message","Anonymization message"
"Customer Data Export","Customer Data Export"
"Allow user export","Allow user export"
"Export information","Export information"
"Information about data export. This text will be displayed in the settings of the user account.","Information about data export. This text will be displayed in the settings of the user account."
"Cookie Policy Popup","Cookie Policy Popup"
"Enable popup notification","Enable popup notification"
"This notification will be displayed at the top of the page until the user agrees to privacy policy.","This notification will be displayed at the top of the page until the user agrees to privacy policy."
"Popup content","Popup content"
"This will be displayed in the popup notification.","This will be displayed in the popup notification."
Delete,Delete
"Delete Reasons","Delete Reasons"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
ID,ID
"Deleted/Anonymized At","Deleted/Anonymized At"
